ID,Title,Abstract,Keywords,Journal,processed_text
0,Aging as disease.,"In this paper, I will argue that ageing can be construed as disease. First, the concept of disease is discussed, where the distinction is made between two lines of thought, an objectivist and a subjectivist one. After determining the disease conception to be used throughout the argument, it is proposed that senescence could be seen as disease. Three common counterarguments are discussed, none of which appears strong enough to effectively counter the advocated view. In the third section, two potential implications of the view advocated here will be briefly touched upon. These are the quest for a cure or treatment for ageing and the general attitude towards the elderly. It is concluded that, utilizing an objective disease concept, ageing could be seen as a disease. None of the considered counterarguments packs enough of a punch to discard this. The implications are complex and intertwined, but need not be negative.",no keywords,"Medicine, Health Care, And Philosophy",paper argu age constru diseas first concept diseas discus distinct made two line thought objectivist subjectivist one determin diseas concept use throughout argument propos senesc could seen diseas three common counterargu discus none appear strong enough effect counter advoc view third section two potenti implic view advoc briefli touch upon quest cure treatment age gener attitud toward elderli conclud util object diseas concept age could seen diseas none consid counterargu pack enough punch discard implic complex intertwin need neg age diseas
1,The readability of medical papers.,No abstract available,writing,American Journal Of Clinical Pathology,abstract avail readabl medic paper
2,Scientific Papers and Patents on Substances with Unproven Effects.,"It is evident from reviewing scientific literature that the quality of argumentation in some areas of medical research has deteriorated during the last decades. Publication of a series of questionable reliability has continued without making references to the published criticism; examples are discussed in this review. Another tendency is that drugs without proven efficiency are advertised, corresponding products patented and marketed as evidence-based medications. Professional publications are required to register drugs and dietary supplements to obtain permissions for the practical use; and such papers appeared, sometimes being of questionable reliability. Several examples are discussed in this review when substances without proven effects were patented and introduced into practice being supported by publications of questionable reliability. Some of the topics are not entirely clear; and the arguments provided here can induce a constructive discussion.","placebo, antioxidants, atherosclerosis, cardiovascular, dietary supplements, hormesis.",Recent Patents On Drug Delivery & Formulation,evid review scientif literatur qualiti argument area medic research deterior last decad public seri question reliabl continu without make refer publish critic exampl discus review anoth tendenc drug without proven effici advertis correspond product patent market medic profession public requir regist drug dietari supplement obtain permiss practic use paper appear sometim question reliabl sever exampl discus review substanc without proven effect patent introduc practic support public question reliabl topic entir clear argument provid induc construct discus scientif paper patent substanc unproven effect
3,Advances in Paper-Based Analytical Devices.,"Microfluidic paper-based analytical devices (μPADs) are the newest generation of lab-on-a-chip devices and have made significant strides in both our understanding of fundamental behavior and performance characteristics and expansion of their applications. μPADs have become useful analytical techniques for environmental analysis in addition to their more common application as medical point-of-care devices. Although the most common method for device fabrication is wax printing, numerous other techniques exist and have helped address factors ranging from solvent compatibility to improved device function. This review highlights recent reports of fabrication and design, modes of detection, and broad applications of μPADs. Such advances have enabled μPADs to be used in field and laboratory studies to address critical needs in fast, cheaper measurement technologies.","biomedical diagnostics, biosensors, environmental, microfluidics, paper-based","Annual Review Of Analytical Chemistry (Palo Alto, Calif.)",microfluid analyt devic μpad newest gener devic made signific stride understand fundament behavior perform characterist expans applic μpad becom use analyt techniqu environment analysi addit common applic medic devic although common method devic fabric wax print numer techniqu exist help address factor rang solvent compat improv devic function review highlight recent report fabric design mode detect broad applic μpad advanc enabl μpad use field laboratori studi address critic need fast cheaper measur technolog advanc analyt devic
4,"Is non-medical use normal? Normalisation, medicalisation and pharmaceutical consumption.","The theory of the normalisation of youth drug use in advanced capitalist societies has had an enduring legacy in contemporary drug scholarship. While the literature on the normalisation of 'illicit' drugs is well developed, less has been written about application of the theory to emerging discourse of pharmaceutical 'abuse', and how this might necessitate different thinking around what can be considered normal consumption. Pharmaceuticals are not directly associated with criminality, and their use does not traditionally attract stigma. In fact, social science scholarship has illustrated how many substances deemed illicit are normalised in the context of an ever-growing set of medical treatments. This paper explores the assumptions about legality, sociality and pleasure which sit behind the drug normalisation thesis, by reflecting on the relevance of drug normalisation in relation to pharmaceuticals, as well as examining scholarship on the medicalisation of society and qualitative research on non-medical use to illustrate the parallel processes of normalisation that apply to pharmaceuticals. The paper argues that questions of normalisation in relation to pharmaceutical use require a deeper engagement with the normative expectations we attach to pleasure, consumption and medicine, and the way this is structured by proximity to medical authority, whiteness and middle-classness.","medicalisation, middle-class, non-medical use, normalisation, pharmaceuticalisation, pharmaceuticals, white, youth",The International Journal On Drug Policy,theori normalis youth drug use advanc capitalist societi endur legaci contemporari drug scholarship literatur normalis drug well develop less written applic theori emerg discours pharmaceut might necessit differ think around consid normal consumpt pharmaceut directli associ crimin use tradit attract stigma fact social scienc scholarship illustr mani substanc deem illicit normalis context set medic treatment paper explor assumpt legal social pleasur sit behind drug normalis thesi reflect relev drug normalis relat pharmaceut well examin scholarship medicalis societi qualit research use illustr parallel process normalis appli pharmaceut paper argu question normalis relat pharmaceut use requir deeper engag norm expect attach pleasur consumpt medicin way structur proxim medic author white use normal normalis medicalis pharmaceut consumpt
5,Drug interactions of cola-containing drinks.,"Cola-containing drinks (CCDs) are among the most common drinks in the world. There are some reports on interactions between CCDs and some drugs. However, there is no review on reported and possible interactions of CCDs. Thus, this paper attempted to provide a comprehensive review on this subject. It is well-accepted that CCDs are acidic and contain caffeine. It has been suggested that these two properties potentiate interactions of CCDs with different drugs in the context of both pharmacodynamics and pharmacokinetic, which includes drug absorption, metabolism, and renal excretion of drugs. It has been shown that serum concentrations of MTX, clozapine, carbamazepine, phenytoin, and ibuprofen increased following CCD consumption; these interactions can be toxic. Additionally, it has been reported that serum levels of lithium and warfarin were decreased and their efficacy reduced when simultaneously administered with CCDs. Serum concentrations of erlotinib and different azoles, including itraconazol, posaconazole, and ketoconazole, have been shown to increase when these drugs were co-administered with a CCD. As proposed and discussed here, CCDs have the potential for interactions with numerous other drugs and thus clinicians should be aware of reported and potential interactions of CCDs with various medications in order to avoid adverse reactions and achieve expected clinical response.","cola-containing drinks, drug interactions, pharmacodynamics, pharmacokinetics","Clinical Nutrition (Edinburgh, Scotland)",drink ccd among common drink world report interact ccd drug howev review report possibl interact ccd thu paper attempt provid comprehens review subject ccd acid contain caffein suggest two properti potenti interact ccd differ drug context pharmacodynam pharmacokinet includ drug absorpt metabol renal excret drug shown serum concentr mtx clozapin carbamazepin phenytoin ibuprofen increas follow ccd consumpt interact toxic addit report serum level lithium warfarin decreas efficaci reduc simultan administ ccd serum concentr erlotinib differ azol includ itraconazol posaconazol ketoconazol shown increas drug ccd propos discus ccd potenti interact numer drug thu clinician awar report potenti interact ccd variou medic order avoid advers reaction achiev expect clinic respons drug interact drink
6,Paper spray-MS for bioanalysis.,"This Review provides a general understanding of paper spray-MS, including the methodology and theory associated with a number of different related applications. This method has become a direct sampling/ionization method for mass spectrometric analysis at ambient conditions and, as a result, it has greatly simplified and increased the speed of mass-spectrum analysis. It has now become an increasingly popular and important method for MS. The first part of this review discusses the fundamentals of paper spray. Some modifications are also reviewed, including nib-assisted paper spray, droplet monitoring, high-throughput paper spray, leaf spray, tissue spray and wooden tip spray. The second part focuses on recent applications, including the analysis of DBS, foodstuffs, drugs and oil. These studies show that paper spray-MS has great potential for use as a fast sampling ionization method, and for the direct analysis of biological and chemical samples at ambient conditions.",no keywords,Bioanalysis,review provid gener understand paper includ methodolog theori associ number differ relat applic method becom direct method mass spectrometr analysi ambient condit result greatli simplifi increas speed analysi becom increasingli popular import method first part review discus fundament paper spray modif also review includ paper spray droplet monitor paper spray leaf spray tissu spray wooden tip spray second part focus recent applic includ analysi db foodstuff drug oil studi show paper great potenti use fast sampl ioniz method direct analysi biolog chemic sampl ambient condit paper bioanalysi
7,Stratified medicalization of schooling difficulties.,"Medicalization is a central topic of concern in the sociology of disability and of health and illness. In this paper, I examine how medicalization is inequitably applied and circulates in the context of schools, specifically in serving students with educational disabilities. My aim is to advance understandings of medicalization through this case. Using a mixed-methods design, I first show, descriptively, how race and gender intersectionally predict educational disability status in a dataset of all Wisconsin public school students. Next, I examine how racial and gender disparities in disability status are produced at the micro level, using interviews with 27 Wisconsin teachers, including in-depth discussions of 73 individual students that were struggling academically or behaviorally. My quantitative findings show variation by race, gender, and disability category: White children have higher probability of special education receipt than comparable children of color for academic difficulties, but lower probability for behavioral difficulties, and girls have lower probability than comparable boys overall. My interview data suggest that these disparate outcomes reflect stratified medicalization processes, in which institutional constraints, status beliefs, and cultural discourses of race and gender shape both stratified noticing of schooling difficulties and stratified interpretation of those difficulties as medicalized conditions.","disability, education, gender, medicalization, mixed-methods, race",Social Science & Medicine (1982),medic central topic concern sociolog disabl health ill paper examin medic inequit appli circul context school specif serv student educ disabl aim advanc understand medic case use design first show descript race gender intersect predict educ disabl statu dataset wisconsin public school student next examin racial gender dispar disabl statu produc micro level use interview wisconsin teacher includ discus individu student struggl academ behavior quantit find show variat race gender disabl categori white child higher probabl special educ receipt compar child color academ difficulti lower probabl behavior difficulti girl lower probabl compar boy overal interview data suggest dispar outcom reflect stratifi medic process institut constraint statu belief cultur discours race gender shape stratifi notic school difficulti stratifi interpret difficulti medic condit stratifi medic school difficulti
8,Advances in Long-Circulating Drug Delivery Strategy.,"For safe and effective therapy, drugs are supposed to be actively targeted at the desired disease locations. As a promising candidate for drug delivery, long circulating system with various strategies has been widely used. Recently, biomimetic strategies mediated long circulation of drug delivery system have been increasingly developed for forming various nanoparticles and shown the anticipated potential.","drug delivery, long circulation, pegylations, biomimetic modification, cell membrane, liposomes.",Current Drug Metabolism,safe effect therapi drug suppos activ target desir diseas locat promis candid drug deliveri long circul system variou strategi wide use recent biomimet strategi mediat long circul drug deliveri system increasingli develop form variou nanoparticl shown anticip potenti advanc drug deliveri strategi
9,Drug development papers in PLoS Medicine: how we try to spot a winner.,"Deciding which drug development papers are appropriate for publication in a general medical journal is not simple; here, editorial board member, Sanjeev Krishna, and the editors discuss their strategy.",no keywords,Plos Medicine,decid drug develop paper appropri public gener medic journal simpl editori board member sanjeev krishna editor discus strategi drug develop paper plo medicin tri spot winner
