Title,Authors,Abstract,Publication Date,Journal,Keywords,MeSH Terms,DOI,Author Affiliations
Aging as disease.,Gunnar De Winter,"In this paper, I will argue that ageing can be construed as disease. First, the concept of disease is discussed, where the distinction is made between two lines of thought, an objectivist and a subjectivist one. After determining the disease conception to be used throughout the argument, it is proposed that senescence could be seen as disease. Three common counterarguments are discussed, none of which appears strong enough to effectively counter the advocated view. In the third section, two potential implications of the view advocated here will be briefly touched upon. These are the quest for a cure or treatment for ageing and the general attitude towards the elderly. It is concluded that, utilizing an objective disease concept, ageing could be seen as a disease. None of the considered counterarguments packs enough of a punch to discard this. The implications are complex and intertwined, but need not be negative.",No date available,"Medicine, health care, and philosophy",No keywords,"Adaptation, Psychological, Aging, Disease, Humans, Medicalization, Philosophy, Medical",10.1007/s11019-014-9600-y,"Department of Philosophy, University of Bristol, Bristol, UK, gunnardewinter.2011@my.bristol.ac.uk."
The readability of medical papers.,R S GILL,No abstract available,No date available,American journal of clinical pathology,WRITING,"Comprehension, Humans, Paper, Writing",No DOI available,
Scientific Papers and Patents on Substances with Unproven Effects.,Sergei V Jargin,"It is evident from reviewing scientific literature that the quality of argumentation in some areas of medical research has deteriorated during the last decades. Publication of a series of questionable reliability has continued without making references to the published criticism; examples are discussed in this review. Another tendency is that drugs without proven efficiency are advertised, corresponding products patented and marketed as evidence-based medications. Professional publications are required to register drugs and dietary supplements to obtain permissions for the practical use; and such papers appeared, sometimes being of questionable reliability. Several examples are discussed in this review when substances without proven effects were patented and introduced into practice being supported by publications of questionable reliability. Some of the topics are not entirely clear; and the arguments provided here can induce a constructive discussion.",No date available,Recent patents on drug delivery & formulation,"Placebo, antioxidants, atherosclerosis, cardiovascular, dietary supplements, hormesis.","Antioxidants, Dietary Supplements, Evidence-Based Medicine, Humans, Patents as Topic, Periodicals as Topic, Pharmaceutical Preparations, Treatment Outcome",10.2174/1872211313666190307162041,"Peoples' Friendship University of Russia, Clementovski per 6-82, 115184 Moscow, Russian Federation."
Advances in Paper-Based Analytical Devices.,"Tugba Ozer, Catherine McMahon, Charles S Henry","Microfluidic paper-based analytical devices (μPADs) are the newest generation of lab-on-a-chip devices and have made significant strides in both our understanding of fundamental behavior and performance characteristics and expansion of their applications. μPADs have become useful analytical techniques for environmental analysis in addition to their more common application as medical point-of-care devices. Although the most common method for device fabrication is wax printing, numerous other techniques exist and have helped address factors ranging from solvent compatibility to improved device function. This review highlights recent reports of fabrication and design, modes of detection, and broad applications of μPADs. Such advances have enabled μPADs to be used in field and laboratory studies to address critical needs in fast, cheaper measurement technologies.",2020,"Annual review of analytical chemistry (Palo Alto, Calif.)","biomedical diagnostics, biosensors, environmental, microfluidics, paper-based","Lab-On-A-Chip Devices, Paper, Point-of-Care Systems",10.1146/annurev-anchem-061318-114845,"Department of Chemistry, Colorado State University, Fort Collins, Colorado 80526, USA; email: Chuck.Henry@colostate.edu., Department of Chemistry, Colorado State University, Fort Collins, Colorado 80526, USA; email: Chuck.Henry@colostate.edu., Department of Chemistry, Colorado State University, Fort Collins, Colorado 80526, USA; email: Chuck.Henry@colostate.edu."
"Is non-medical use normal? Normalisation, medicalisation and pharmaceutical consumption.",George Christopher Dertadian,"The theory of the normalisation of youth drug use in advanced capitalist societies has had an enduring legacy in contemporary drug scholarship. While the literature on the normalisation of 'illicit' drugs is well developed, less has been written about application of the theory to emerging discourse of pharmaceutical 'abuse', and how this might necessitate different thinking around what can be considered normal consumption. Pharmaceuticals are not directly associated with criminality, and their use does not traditionally attract stigma. In fact, social science scholarship has illustrated how many substances deemed illicit are normalised in the context of an ever-growing set of medical treatments. This paper explores the assumptions about legality, sociality and pleasure which sit behind the drug normalisation thesis, by reflecting on the relevance of drug normalisation in relation to pharmaceuticals, as well as examining scholarship on the medicalisation of society and qualitative research on non-medical use to illustrate the parallel processes of normalisation that apply to pharmaceuticals. The paper argues that questions of normalisation in relation to pharmaceutical use require a deeper engagement with the normative expectations we attach to pleasure, consumption and medicine, and the way this is structured by proximity to medical authority, whiteness and middle-classness.",2023,The International journal on drug policy,"Medicalisation, Middle-class, Non-medical use, Normalisation, Pharmaceuticalisation, Pharmaceuticals, White, Youth","Adolescent, Humans, Illicit Drugs, Social Behavior, Pleasure, Qualitative Research, Medicalization",10.1016/j.drugpo.2023.104123,"Centre for Crime, Law and Justice, Faculty of Law and Justice, UNSW, Sydney, Australia. Electronic address: k.dertadian@unsw.edu.au."
Drug interactions of cola-containing drinks.,"Homa Nomani, Ali Tafazoli Moghadam, Seyed Ahmad Emami, Amir Hooshang Mohammadpour, Thomas P Johnston, Amirhossein Sahebkar","Cola-containing drinks (CCDs) are among the most common drinks in the world. There are some reports on interactions between CCDs and some drugs. However, there is no review on reported and possible interactions of CCDs. Thus, this paper attempted to provide a comprehensive review on this subject. It is well-accepted that CCDs are acidic and contain caffeine. It has been suggested that these two properties potentiate interactions of CCDs with different drugs in the context of both pharmacodynamics and pharmacokinetic, which includes drug absorption, metabolism, and renal excretion of drugs. It has been shown that serum concentrations of MTX, clozapine, carbamazepine, phenytoin, and ibuprofen increased following CCD consumption; these interactions can be toxic. Additionally, it has been reported that serum levels of lithium and warfarin were decreased and their efficacy reduced when simultaneously administered with CCDs. Serum concentrations of erlotinib and different azoles, including itraconazol, posaconazole, and ketoconazole, have been shown to increase when these drugs were co-administered with a CCD. As proposed and discussed here, CCDs have the potential for interactions with numerous other drugs and thus clinicians should be aware of reported and potential interactions of CCDs with various medications in order to avoid adverse reactions and achieve expected clinical response.",2019,"Clinical nutrition (Edinburgh, Scotland)","Cola-containing drinks, Drug interactions, Pharmacodynamics, Pharmacokinetics","Animals, Biomedical Research, Carbonated Beverages, Cola, Drug Interactions, Humans, Pharmaceutical Preparations",10.1016/j.clnu.2019.01.029,"School of Pharmacy, Mashhad University of Medical Sciences, Mashhad, Iran., Clinical Pharmacy Department, School of Pharmacy, Shahid Beheshti University of Medical Sciences, Iran., Department of Pharmacognosy, School of Pharmacy, Mashhad University of Medical Sciences, Mashhad, Iran., Department of Clinical Pharmacy, School of Pharmacy, Mashhad University of Medical Sciences, Mashhad, Iran; Pharmaceutical Research Center, Pharmaceutical Technology Institute, Mashhad University of Medical Sciences, Mashhad, Iran. Electronic address: mohamadpoorAH@mums.ac.ir., Division of Pharmacology and Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, Kansas City, MO, USA., Neurogenic Inflammation Research Center, Mashhad University of Medical Sciences, Mashhad, Iran; Biotechnology Research Center, Pharmaceutical Technology Institute, Mashhad University of Medical Sciences, Mashhad, Iran."
Paper spray-MS for bioanalysis.,"Cheng-Huang Lin, Wei-Ching Liao, Hsin-Kai Chen, Ting-Yang Kuo","This Review provides a general understanding of paper spray-MS, including the methodology and theory associated with a number of different related applications. This method has become a direct sampling/ionization method for mass spectrometric analysis at ambient conditions and, as a result, it has greatly simplified and increased the speed of mass-spectrum analysis. It has now become an increasingly popular and important method for MS. The first part of this review discusses the fundamentals of paper spray. Some modifications are also reviewed, including nib-assisted paper spray, droplet monitoring, high-throughput paper spray, leaf spray, tissue spray and wooden tip spray. The second part focuses on recent applications, including the analysis of DBS, foodstuffs, drugs and oil. These studies show that paper spray-MS has great potential for use as a fast sampling ionization method, and for the direct analysis of biological and chemical samples at ambient conditions.",No date available,Bioanalysis,No keywords,"Dried Blood Spot Testing, Food Analysis, Methanol, Oils, Paper, Pharmaceutical Preparations, Spectrometry, Mass, Electrospray Ionization, Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization, Water",10.4155/bio.13.310,"Department of Chemistry, National Taiwan Normal University, 88 Sec. 4, Tingchow Road, Taipei, Taiwan."
Stratified medicalization of schooling difficulties.,Rachel Elizabeth Fish,"Medicalization is a central topic of concern in the sociology of disability and of health and illness. In this paper, I examine how medicalization is inequitably applied and circulates in the context of schools, specifically in serving students with educational disabilities. My aim is to advance understandings of medicalization through this case. Using a mixed-methods design, I first show, descriptively, how race and gender intersectionally predict educational disability status in a dataset of all Wisconsin public school students. Next, I examine how racial and gender disparities in disability status are produced at the micro level, using interviews with 27 Wisconsin teachers, including in-depth discussions of 73 individual students that were struggling academically or behaviorally. My quantitative findings show variation by race, gender, and disability category: White children have higher probability of special education receipt than comparable children of color for academic difficulties, but lower probability for behavioral difficulties, and girls have lower probability than comparable boys overall. My interview data suggest that these disparate outcomes reflect stratified medicalization processes, in which institutional constraints, status beliefs, and cultural discourses of race and gender shape both stratified noticing of schooling difficulties and stratified interpretation of those difficulties as medicalized conditions.",2022,Social science & medicine (1982),"Disability, Education, Gender, Medicalization, Mixed-methods, Race","Child, Cognition, Educational Status, Female, Humans, Male, Medicalization, Schools, Students",10.1016/j.socscimed.2022.115039,"New York University, USA. Electronic address: rachel.fish@nyu.edu."
Advances in Long-Circulating Drug Delivery Strategy.,"Xinyu Zhang, Shaohan Zhang, Yang Kang, Keqing Huang, Zhipeng Gu, Jun Wu","For safe and effective therapy, drugs are supposed to be actively targeted at the desired disease locations. As a promising candidate for drug delivery, long circulating system with various strategies has been widely used. Recently, biomimetic strategies mediated long circulation of drug delivery system have been increasingly developed for forming various nanoparticles and shown the anticipated potential.",No date available,Current drug metabolism,"Drug delivery, Long circulation, PEGylations, biomimetic modification, cell membrane, liposomes.","Animals, Drug Delivery Systems, Humans, Pharmaceutical Preparations",10.2174/1389200219666180511152350,"Key Laboratory of Sensor Technology and Biomedical Instrument of Guangdong Province, School of Engineering, Sun Yat-sen University, Guangzhou 510006, China., Key Laboratory of Sensor Technology and Biomedical Instrument of Guangdong Province, School of Engineering, Sun Yat-sen University, Guangzhou 510006, China., Key Laboratory of Sensor Technology and Biomedical Instrument of Guangdong Province, School of Engineering, Sun Yat-sen University, Guangzhou 510006, China., Key Laboratory of Sensor Technology and Biomedical Instrument of Guangdong Province, School of Engineering, Sun Yat-sen University, Guangzhou 510006, China., Key Laboratory of Sensor Technology and Biomedical Instrument of Guangdong Province, School of Engineering, Sun Yat-sen University, Guangzhou 510006, China., Key Laboratory of Sensor Technology and Biomedical Instrument of Guangdong Province, School of Engineering, Sun Yat-sen University, Guangzhou 510006, China."
Drug development papers in PLoS Medicine: how we try to spot a winner.,Sanjeev Krishna,"Deciding which drug development papers are appropriate for publication in a general medical journal is not simple; here, editorial board member, Sanjeev Krishna, and the editors discuss their strategy.",No date available,PLoS medicine,No keywords,"Editorial Policies, Periodicals as Topic, Pharmaceutical Preparations",e547,
